red,orange,yellow,green,blue,violet
734.5631103515625,1560.1510009765625,8148.0263671875,36391.46875,305.98211669921875,59947.7890625
741.1217041015625,1535.865234375,8401.7021484375,36441.0,292.96160888671875,59947.7890625
730.190673828125,1499.855224609375,7784.01904296875,35744.92578125,278.8560485839844,59947.7890625
748.7733764648438,1519.953857421875,7756.21875,35988.25,281.026123046875,59947.7890625
757.5181884765625,1537.5400390625,7498.19970703125,35782.29296875,283.1961975097656,59947.7890625
765.1698608398438,1532.5155029296875,7634.59375,35268.7109375,276.6859436035156,59947.7890625
793.5904541015625,1569.36279296875,8128.044921875,35363.4296875,281.026123046875,59947.7890625
854.8040771484375,1638.870361328125,9713.517578125,37335.2109375,310.3222961425781,59947.7890625
858.0833740234375,1638.032958984375,9754.3486328125,37392.56640625,310.3222961425781,59947.7890625
866.8281860351562,1651.431884765625,9903.7744140625,37475.9921875,312.49237060546875,59947.7890625
