red,orange,yellow,green,blue,violet
141.00987243652344,222.7590789794922,9392.9482421875,21725.212890625,110.67438507080078,31905.169921875
133.35818481445312,211.034912109375,8544.1767578125,20512.076171875,101.9940414428711,30387.8671875
136.63748168945312,231.13348388671875,8467.7265625,20585.94140625,104.16412353515625,30840.669921875
143.19607543945312,238.67044067382812,8855.1904296875,21336.765625,106.33421325683594,31914.728515625
146.47537231445312,244.5325164794922,8909.921875,21727.818359375,108.5042953491211,32395.0078125
145.3822784423828,270.4931640625,8891.677734375,21547.064453125,115.01455688476562,32281.509765625
153.0339813232422,292.2666015625,8234.9013671875,21386.298828125,112.84446716308594,32430.849609375
159.5925750732422,300.6410217285156,9315.62890625,22847.970703125,123.69490051269531,34664.98828125
150.8477783203125,256.2566833496094,7719.7314453125,21029.13671875,121.52481079101562,31826.318359375
165.05807495117188,238.67044067382812,10676.9638671875,24915.341796875,143.22567749023438,36742.6171875
