405-425nm,435-455nm,470-490nm,505-525nm,545-565nm,580-600nm,620-640nm,670-690nm,clear,nir
18440,51268,16281,50161,65535,56371,55023,33598,65535,12464
35489,65535,30628,65535,65535,65535,65535,49723,65535,16252
36628,65535,32657,65535,65535,65535,65535,48296,65535,16088
35711,65535,31859,65535,65535,65535,65535,46778,65535,15557
35014,65535,31240,65535,65535,65535,65535,45610,65535,15341
32549,65535,29159,65535,65535,62663,65535,39705,65535,14194
26346,65535,23684,65535,65535,53163,55971,33646,65535,13210
23817,65535,21363,65535,64031,48752,51157,31038,65535,12646
22232,65535,19852,61389,61716,46153,48617,29756,65535,11975
21783,64578,19534,59585,55250,40859,43762,25855,65535,11317
