405-425nm,435-455nm,470-490nm,505-525nm,545-565nm,580-600nm,620-640nm,670-690nm,clear,nir
3675,8543,2566,5868,3102,2434,2578,2329,29032,824
225,757,217,466,572,444,496,436,4238,125
205,719,205,440,232,200,209,177,1463,43
88,417,128,244,223,184,195,168,1263,38
98,394,121,238,190,153,168,143,941,29
86,367,111,217,187,150,165,141,903,28
77,331,102,198,163,130,142,124,723,22
77,328,101,195,170,138,148,128,802,24
70,304,92,180,151,127,132,115,694,21
1147,3379,949,2188,22689,15098,20006,16996,65535,4946
