405-425nm,435-455nm,470-490nm,505-525nm,545-565nm,580-600nm,620-640nm,670-690nm,clear,nir
1620,4611,1764,6202,40073,31931,28984,11564,65535,8149
15298,40357,15989,57821,59586,50208,44466,18054,65535,9766
9389,26262,9813,36588,56687,47243,42524,16937,65535,9469
10313,28845,10917,41322,59893,49584,45142,17940,65535,10356
10419,25903,10859,36998,55725,45482,40203,16024,65535,12105
12242,31230,12801,44420,57549,46444,40478,16634,65535,12364
9926,24186,10163,33017,45990,37686,31683,13523,65535,9889
8967,21568,9190,29717,53269,42447,37373,15105,65535,11692
10390,25037,10735,34907,48485,38200,33903,13776,65535,10790
9693,23290,9991,32339,54363,43527,37801,15519,65535,12009
