405-425nm,435-455nm,470-490nm,505-525nm,545-565nm,580-600nm,620-640nm,670-690nm,clear,nir
24661,65535,19353,44542,24170,16011,23047,22134,65535,5638
23272,65535,18146,41809,26294,17390,25014,24097,65535,5989
23538,65535,18334,42172,21396,13859,20503,19172,65535,5088
16378,52905,12862,29607,19043,12154,18492,16705,65535,4684
14620,46715,11415,26915,16610,10709,16385,14610,65535,4142
14273,45659,11203,26384,18401,11817,17920,16248,65535,4455
8787,27530,6868,15999,6673,4563,6396,5939,54484,1610
6207,18487,4648,10370,6095,4191,5811,5476,50522,1502
5793,17074,4325,9595,6112,4109,5846,5402,49694,1485
5555,17006,4259,9575,6173,4204,5859,5484,50422,1504
