red,orange,yellow,green,blue,violet
370.56085205078125,203.49795532226562,4242.9853515625,8464.142578125,353.7239990234375,22561.21484375
392.4228515625,205.17283630371094,4326.3857421875,8566.685546875,365.65948486328125,23019.990234375
373.84014892578125,198.4733123779297,4259.49169921875,8367.6826171875,354.8090515136719,22462.052734375
392.4228515625,203.49795532226562,4353.31689453125,8540.615234375,375.42486572265625,23150.21484375
373.84014892578125,206.01026916503906,4311.61669921875,8247.759765625,396.0406799316406,21882.609375
351.9781494140625,199.3107452392578,4187.38525390625,8235.59375,348.2987976074219,22165.759765625
388.0504455566406,202.66050720214844,4318.56689453125,8576.2451171875,371.0846862792969,22976.978515625
383.67803955078125,204.33538818359375,4314.22314453125,8486.7373046875,389.5304260253906,22642.455078125
351.9781494140625,202.66050720214844,4151.7666015625,8556.2578125,381.93511962890625,22700.998046875
401.1676330566406,213.5472412109375,4436.71728515625,8717.0244140625,440.5274353027344,23301.9453125
