red,orange,yellow,green,blue,violet
635.0910034179688,215.22210693359375,3852.915771484375,7664.65478515625,332.02313232421875,29513.328125
633.9979248046875,216.05955505371094,3845.965576171875,7655.095703125,329.8530578613281,29491.822265625
660.2322998046875,216.89698791503906,3866.815673828125,7668.130859375,351.5539245605469,29366.376953125
632.90478515625,216.05955505371094,3831.19677734375,7567.32568359375,354.8090515136719,29280.35546875
713.794189453125,220.2467498779297,3949.34716796875,7754.16259765625,407.9761657714844,29826.345703125
714.8872680664062,219.40931701660156,3922.415771484375,7743.734375,403.635986328125,29877.71875
736.749267578125,218.57186889648438,3893.7470703125,7744.603515625,398.21075439453125,29939.845703125
726.911376953125,219.40931701660156,3908.515869140625,7737.6513671875,392.7855529785156,29877.71875
740.028564453125,219.40931701660156,3935.447021484375,7796.744140625,415.5714416503906,30013.91796875
756.4251098632812,218.57186889648438,3932.8408203125,7854.0986328125,412.3163146972656,29956.572265625
