405-425nm,435-455nm,470-490nm,505-525nm,545-565nm,580-600nm,620-640nm,670-690nm,clear,nir
17402,52944,12418,26681,14973,10821,15251,15627,65535,3353
19721,60483,14220,30647,16307,11746,16503,16911,65535,3413
20915,64001,15057,32612,16450,12125,16703,16972,65535,3495
15058,49771,11535,25143,13608,8843,13273,13415,65535,4053
20878,65535,15870,34591,21187,14793,21065,22013,65535,4985
26526,65535,19565,42140,23275,15795,23378,24081,65535,5386
22799,65535,16919,36470,21714,14705,21798,22314,65535,5201
21466,65535,15725,34038,17949,11814,17763,17547,65535,4734
15617,50176,11844,24637,11718,7406,11084,11407,65535,3753
8191,19865,5876,10380,5848,3728,5248,5134,65535,2426
