red,orange,yellow,green,blue,violet
936.7865600585938,710.1492309570312,7691.0625,17014.31640625,277.77099609375,59947.7890625
831.8489990234375,712.6615600585938,7402.63671875,16473.79296875,281.026123046875,59947.7890625
837.314453125,694.2378540039062,7388.73681640625,16400.796875,265.83551025390625,59947.7890625
822.0110473632812,681.67626953125,7274.0615234375,16185.283203125,259.32525634765625,59947.7890625
726.911376953125,664.927490234375,6993.45458984375,15542.216796875,245.21971130371094,59947.7890625
841.6868896484375,668.2772216796875,7262.767578125,16034.9443359375,257.1551818847656,59947.7890625
889.7832641601562,686.700927734375,7431.3056640625,16342.5732421875,270.1756896972656,59947.7890625
955.3692626953125,686.700927734375,7594.630859375,16678.01171875,272.3457946777344,59947.7890625
1004.5587158203125,700.9373779296875,7728.4189453125,16804.88671875,290.79150390625,59947.7890625
1055.9344482421875,709.311767578125,7827.45654296875,17029.958984375,302.72698974609375,59947.7890625
