red,orange,yellow,green,blue,violet
348.6988525390625,220.2467498779297,5150.83154296875,9977.0859375,328.76800537109375,18954.3359375
350.8850402832031,226.1088409423828,5201.21875,10138.7216796875,342.8735656738281,19195.669921875
343.23333740234375,221.08419799804688,5147.3564453125,10029.2265625,336.3633117675781,18828.888671875
346.51263427734375,223.5965118408203,5166.46875,10168.2685546875,337.4483642578125,18992.56640625
312.6265563964844,218.57186889648438,4873.69921875,9520.8564453125,301.6419372558594,17908.94921875
420.84344482421875,166.6505889892578,3302.126708984375,6415.0205078125,275.6009216308594,12417.9873046875
112.58927917480469,144.87713623046875,5319.369140625,9738.109375,415.5714416503906,16756.0390625
108.21688079833984,142.3648223876953,5137.80029296875,9440.0390625,402.5509338378906,16266.201171875
106.03068542480469,139.85250854492188,5024.8623046875,9261.0234375,393.87060546875,15991.4140625
106.03068542480469,140.68994140625,5037.02490234375,9274.05859375,392.7855529785156,16026.060546875
