405-425nm,435-455nm,470-490nm,505-525nm,545-565nm,580-600nm,620-640nm,670-690nm,clear,nir
1634,4565,1627,5313,3259,2687,2544,1267,12922,563
710,2135,733,2484,1391,1248,1171,558,5902,254
247,732,258,845,731,743,671,313,2907,122
180,533,195,628,559,590,530,243,2175,90
129,385,139,450,496,583,522,227,1909,77
98,297,108,357,658,673,633,286,2562,105
163,507,175,583,661,671,616,288,2584,106
152,468,165,542,575,608,552,254,2214,90
130,388,141,455,396,469,409,184,1474,61
93,274,101,329,332,420,371,160,1184,47
